Services,Packages
 Advisor,"azure-mgmt-advisor, "
 Agrifood,"azure-mgmt-agfood, azure-mgmt-agrifood, "
 AI,"azure-ai-generative, azure-ai-inference, azure-ai-resources, "
 AKS Developer Hub,"azure-mgmt-devhub, "
 Alerts Management,"azure-mgmt-alertsmanagement, "
 API Center,"azure-mgmt-apicenter, "
 API Management,"azure-mgmt-apimanagement, "
 App Compliance Automation,"azure-mgmt-appcomplianceautomation, "
 App Configuration,"azure-appconfiguration, azure-appconfiguration-provider, azure-mgmt-appconfiguration, "
 App Platform,"azure-mgmt-appplatform, "
 App Service,"azure-mgmt-web, "
 Application Insights,"azure-mgmt-applicationinsights, azure-applicationinsights, "
 Arc Data,"azure-mgmt-azurearcdata, "
 Astro,"azure-mgmt-astro, "
 Attestation,"azure-security-attestation, azure-mgmt-attestation, "
 Authorization,"azure-mgmt-authorization, "
 Auto Suggest,"azure-cognitiveservices-search-autosuggest, "
 Automanage,"azure-mgmt-automanage, "
 Automation,"azure-mgmt-automation, "
 Azure AD B2C,"azure-mgmt-azureadb2c, "
 Azure Remote Rendering,"azure-mixedreality-remoterendering, "
 Azure Stack,"azure-mgmt-azurestack, "
 Azure Stack HCI,"azure-mgmt-azurestackhci, "
 Azure VMware Solution,"azure-mgmt-avs, "
 BareMetal Infrastructure,"azure-mgmt-baremetalinfrastructure, "
 Batch,"azure-mgmt-batch, azure-batch, "
 Batch AI,"azure-mgmt-batchai, "
 Billing,"azure-mgmt-billing, "
 Billing Benefits,"azure-mgmt-billingbenefits, "
 Bot Service,"azure-mgmt-botservice, "
 Change Analysis,"azure-mgmt-changeanalysis, "
 Chaos,"azure-mgmt-chaos, "
 Cognitive Services,"azure-ai-anomalydetector, azure-ai-contentsafety, azure-ai-language-conversations, azure-ai-documentintelligence, azure-ai-translation-document, azure-ai-vision-face, azure-ai-formrecognizer, azure-healthinsights-cancerprofiling, azure-healthinsights-clinicalmatching, azure-healthinsights-radiologyinsights, azure-ai-vision-imageanalysis, azure-ai-personalizer, azure-ai-language-questionanswering, azure-ai-textanalytics, azure-ai-translation-text, azure-mgmt-cognitiveservices, azure-cognitiveservices-anomalydetector, azure-cognitiveservices-vision-computervision, azure-cognitiveservices-vision-contentmoderator, azure-cognitiveservices-language-luis, azure-cognitiveservices-vision-customvision, azure-cognitiveservices-formrecognizer, azure-cognitiveservices-inkrecognizer, azure-cognitiveservices-personalizer, azure-cognitiveservices-language-spellcheck, azure-cognitiveservices-language-textanalytics, "
 Commerce,"azure-mgmt-commerce, "
 Communication,"azure-communication-callautomation, azure-communication-chat, azure-communication-email, azure-communication-identity, azure-communication-jobrouter, azure-communication-messages, azure-communication-networktraversal, azure-communication-phonenumbers, azure-communication-rooms, azure-communication-sms, azure-mgmt-communication, azure-communication-administration, "
 Compute,"azure-mgmt-compute, "
 Computefleet,"azure-mgmt-computefleet, "
 Confidential Ledger,"azure-confidentialledger, azure-mgmt-confidentialledger, "
 Confluent,"azure-mgmt-confluent, "
 Connected VMware,"azure-mgmt-connectedvmware, "
 Consumption,"azure-mgmt-consumption, "
 Container Apps,"azure-mgmt-appcontainers, "
 Container Instances,"azure-mgmt-containerinstance, "
 Container Registry,"azure-containerregistry, azure-mgmt-containerregistry, "
 Container Service,"azure-mgmt-containerservice, "
 Container Service Fleet,"azure-mgmt-containerservicefleet, "
 Content Delivery Network,"azure-mgmt-cdn, "
 Core,"azure-core-tracing-opencensus, "
 Cosmos DB,"azure-cosmos, azure-mgmt-cosmosdb, "
 Cosmos DB for PostgreSQL,"azure-mgmt-cosmosdbforpostgresql, "
 Cost Management,"azure-mgmt-costmanagement, "
 Custom Image Search,"azure-cognitiveservices-search-customimagesearch, "
 Custom Providers,"azure-mgmt-customproviders, "
 Custom Search,"azure-cognitiveservices-search-customsearch, "
 Data Box,"azure-mgmt-databox, "
 Data Box Edge,"azure-mgmt-databoxedge, "
 Data Explorer,"azure-mgmt-kusto, "
 Data Factory,"azure-mgmt-datafactory, "
 Data Protection,"azure-mgmt-dataprotection, "
 Data Share,"azure-mgmt-datashare, "
 Database Migration Service,"azure-mgmt-datamigration, "
 Databricks,"azure-mgmt-databricks, "
 Datadog,"azure-mgmt-datadog, "
 Defender EASM,"azure-defender-easm, azure-mgmt-defendereasm, "
 Deployment Manager,"azure-mgmt-deploymentmanager, "
 Desktop Virtualization,"azure-mgmt-desktopvirtualization, "
 Dev Center,"azure-developer-devcenter, azure-mgmt-devcenter, "
 Dev Spaces,"azure-mgmt-devspaces, "
 Device Registry,"azure-mgmt-deviceregistry, "
 DevOps Infrastructure,"azure-mgmt-devopsinfrastructure, "
 DevTest Labs,"azure-mgmt-devtestlabs, "
 DNS,"azure-mgmt-dns, "
 DNS Resolver,"azure-mgmt-dnsresolver, "
 Dynatrace,"azure-mgmt-dynatrace, "
 Edge Order,"azure-mgmt-edgeorder, "
 Edgezones,"azure-mgmt-edgezones, "
 Education,"azure-mgmt-education, "
 Elastic,"azure-mgmt-elastic, "
 Elastic SAN,"azure-mgmt-elasticsan, "
 Entity Search,"azure-cognitiveservices-search-entitysearch, "
